Time(s) Delta Theta Alpha Beta
3.800000000000000000e+01 2.673354663781404589e-03 1.587494959230892257e-03 5.590104874251873189e-04 1.803313456268771536e-04
3.850000000000000000e+01 2.463370368259828330e-03 1.509592823441736594e-03 4.609968267734377732e-04 1.423315511530599483e-04
3.900000000000000000e+01 1.956360343380951581e-03 1.575483697298246839e-03 5.242188563190484539e-04 1.373136765708573811e-04
3.950000000000000000e+01 2.433440772102317233e-03 1.233421099672006929e-03 5.185619066427652694e-04 1.340767926326621507e-04
4.000000000000000000e+01 3.549978076669974697e-03 1.370445286553223507e-03 4.640423355530549194e-04 1.430783850434498572e-04
4.050000000000000000e+01 4.612563238643113163e-03 1.647370406369766827e-03 4.470204722976698448e-04 1.524682236095861742e-04
4.100000000000000000e+01 4.708701137097938069e-03 1.454786074872709391e-03 4.336163122849627039e-04 1.389915594346848135e-04
4.150000000000000000e+01 4.993629408144662461e-03 1.639152944524317757e-03 4.238453003883332448e-04 1.482761632374589517e-04
4.200000000000000000e+01 4.709624177660044590e-03 1.024314898513409636e-03 3.735684027809892376e-04 1.281899166635976637e-04
4.250000000000000000e+01 5.129112176048077933e-03 1.315970150396347793e-03 3.619360126122916758e-04 1.414587790480268943e-04
4.300000000000000000e+01 4.645583515301900980e-03 1.077069935228901643e-03 3.633995664558561066e-04 1.303388221839065126e-04
4.350000000000000000e+01 5.261698940604646671e-03 1.320523460691592176e-03 4.287754117913956877e-04 1.474276855956054304e-04
4.400000000000000000e+01 4.003898982157310868e-03 8.338590959919371095e-04 4.622648311258871251e-04 1.317049374967510587e-04
4.450000000000000000e+01 3.887430325616113378e-03 7.524347034100521692e-04 4.992945929113999431e-04 1.602447137134079870e-04
4.500000000000000000e+01 3.246891117174037413e-03 6.464281550175288681e-04 4.288923211894745931e-04 1.541099726788159208e-04
4.550000000000000000e+01 3.669942248977573190e-03 5.924611357770213178e-04 4.199577615165715804e-04 1.721049456105553169e-04
4.600000000000000000e+01 3.394299844709740017e-03 5.805628761662029198e-04 4.299542988591493120e-04 1.777586287007114471e-04
4.650000000000000000e+01 3.346090237004349655e-03 8.013776397385330170e-04 4.293585724768531585e-04 1.887832522408949311e-04
4.700000000000000000e+01 3.821500859152215761e-03 8.795985533649542179e-04 4.839998262102579636e-04 2.380167699462132781e-04
4.750000000000000000e+01 4.187325343569070317e-03 8.854555482817633594e-04 4.497261282078021867e-04 2.569220874306399620e-04
4.800000000000000000e+01 3.674480298629803111e-03 1.096752283287513990e-03 4.945742178862772833e-04 2.687651003174394877e-04
4.850000000000000000e+01 2.846562008357533813e-03 1.172635109619821030e-03 5.438709920577136561e-04 2.658331003393754133e-04
4.900000000000000000e+01 4.080885139600440824e-03 1.407634621143061954e-03 5.340238466642761297e-04 2.557363179520298906e-04
4.950000000000000000e+01 4.076261328122013361e-03 1.285922898712827354e-03 5.733338266322127478e-04 2.609484036470021578e-04
5.000000000000000000e+01 4.041472524509894665e-03 1.465905505368575532e-03 5.244169073898624547e-04 2.323274456154294848e-04
5.050000000000000000e+01 4.210871428737182620e-03 1.179683180000062979e-03 6.045551064976076088e-04 2.440246397896127749e-04
5.100000000000000000e+01 3.860028281962878983e-03 1.036206673920312370e-03 5.014157316290129710e-04 1.735865200541562208e-04
5.150000000000000000e+01 3.466832290362807135e-03 1.019619940704611684e-03 5.212679135710703102e-04 1.610652266385814138e-04
5.200000000000000000e+01 3.125419400148558759e-03 9.740125168801013400e-04 4.204350972232343280e-04 1.363548902263705552e-04
5.250000000000000000e+01 3.468686754613426772e-03 9.111322304250664417e-04 3.892265390407034613e-04 1.404594899069889504e-04
5.300000000000000000e+01 2.469453889866477739e-03 8.114107377752978164e-04 3.792034225481505437e-04 1.340681999499036847e-04
5.350000000000000000e+01 2.530280592037568044e-03 9.490097519377678091e-04 4.211291731280897310e-04 1.550428304209357754e-04
5.400000000000000000e+01 3.104460501168619917e-03 9.508609755685199427e-04 4.324698934629852870e-04 1.577117251156618185e-04
5.450000000000000000e+01 3.373365982037122759e-03 1.108840630723039161e-03 4.255510788045175773e-04 1.546814230951710318e-04
5.500000000000000000e+01 4.328022460634426381e-03 1.346460825027989781e-03 4.782672801663880751e-04 1.553102727195893723e-04
5.550000000000000000e+01 4.257999541709677274e-03 1.564139264785169466e-03 4.744780537908303169e-04 1.609203632817345531e-04
5.600000000000000000e+01 4.316868310480630536e-03 1.711180764538995126e-03 4.329688886133502669e-04 1.610444510508799939e-04
5.650000000000000000e+01 4.198457062911333318e-03 1.855264956258432813e-03 4.426531510632274570e-04 1.607166514212098182e-04
5.700000000000000000e+01 5.761276970559975341e-03 1.930011027204211896e-03 4.685836842179773700e-04 1.591353489013501129e-04
5.750000000000000000e+01 6.359758984657760787e-03 1.899009859321029378e-03 5.682993530636645417e-04 1.450357116863999535e-04
5.800000000000000000e+01 5.571658406456387810e-03 1.803460261761205378e-03 6.457480984075022242e-04 1.598532834107370198e-04
5.850000000000000000e+01 6.434822164648810842e-03 1.980612505534011004e-03 6.516474542447985583e-04 1.512689273541393913e-04
5.900000000000000000e+01 4.827687215854649036e-03 1.629600991897354328e-03 6.351628687605808234e-04 1.724964318571062651e-04
5.950000000000000000e+01 5.821332070245806810e-03 1.717543547555385993e-03 5.680150582266679012e-04 1.493612262859381028e-04
6.000000000000000000e+01 4.794661536207437368e-03 1.487117144948536720e-03 5.956996410963989394e-04 1.648399596225891674e-04
6.050000000000000000e+01 5.854148731320260417e-03 1.363614905772217185e-03 5.275150596623432017e-04 1.317479286103012139e-04
6.100000000000000000e+01 3.120011092929509365e-03 1.151342017453631499e-03 5.463496216982839009e-04 1.439503811227096474e-04
6.150000000000000000e+01 2.672568894165269771e-03 1.095173073667521585e-03 4.194700716421480725e-04 1.288690591311381800e-04
6.200000000000000000e+01 2.192284263073602472e-03 1.289933460323590061e-03 3.383981532099520576e-04 1.207367563336011400e-04
6.250000000000000000e+01 2.731462810152971658e-03 1.097780143779717322e-03 3.669587173229249826e-04 1.163338770349941071e-04
6.300000000000000000e+01 2.238145166225892404e-03 1.241396117430307961e-03 4.932348004216628159e-04 1.153159719602614376e-04
6.350000000000000000e+01 2.313658113591699535e-03 1.124584719458989650e-03 4.871331894975911210e-04 1.194816063175236438e-04
6.400000000000000000e+01 2.121443287334422081e-03 1.004433935049266419e-03 5.641474352620119573e-04 1.339032317897430747e-04
6.450000000000000000e+01 2.399267810403245011e-03 1.175617081524647171e-03 5.218312508564389727e-04 1.489381743256323692e-04
6.500000000000000000e+01 2.309048912583228346e-03 1.186421004850653736e-03 5.485848796839168200e-04 1.551224058782408710e-04
6.550000000000000000e+01 2.469192871843568522e-03 1.195713935173059591e-03 5.324230545068307655e-04 1.689769595933542296e-04
6.600000000000000000e+01 2.070519549688238769e-03 1.040430485856855790e-03 6.151903415205313072e-04 1.682231269573511857e-04
6.650000000000000000e+01 1.631451177998805490e-03 9.560194331820262830e-04 5.137018521262548456e-04 1.827004509869970916e-04
6.700000000000000000e+01 1.466344022850194894e-03 9.128827479327610321e-04 4.310861009601182621e-04 1.702177173873287272e-04
6.750000000000000000e+01 1.945561787158643771e-03 8.682763309455240972e-04 3.453995372716388312e-04 1.790240518119932392e-04
6.800000000000000000e+01 1.853108000008084040e-03 9.725773176867210821e-04 3.469721507773546021e-04 1.541839172386861385e-04
6.850000000000000000e+01 1.834861754261584528e-03 8.736295817784699158e-04 3.129208770029023802e-04 1.572536617445721913e-04
6.900000000000000000e+01 1.605740089592882624e-03 7.919290142504299647e-04 3.290346603304963586e-04 1.575843349891327882e-04
6.950000000000000000e+01 1.800843105448908391e-03 7.353096979541242544e-04 2.595475499310488329e-04 2.024695731146867463e-04
7.000000000000000000e+01 1.901400027567034514e-03 7.178747107078691479e-04 2.895098834454258325e-04 2.218447855483574678e-04
7.050000000000000000e+01 1.913853556701388412e-03 7.400801170320671449e-04 4.687573910167846906e-04 2.137021044927709572e-04
7.100000000000000000e+01 1.713872612461360672e-03 8.695550861927185899e-04 5.754944283245089611e-04 2.523939584693332054e-04
7.150000000000000000e+01 1.893937363884961710e-03 7.808043113446582395e-04 5.957914360930469024e-04 2.217975426772487372e-04
7.200000000000000000e+01 2.172696828539667432e-03 8.188660369252906412e-04 6.664107734014837903e-04 2.542117819059587177e-04
7.250000000000000000e+01 2.683472648643857490e-03 1.243548338072583519e-03 6.283476908903485323e-04 2.307060718994028098e-04
7.300000000000000000e+01 2.868746135308350605e-03 1.374944477735642618e-03 7.476794820156137380e-04 2.541811061971910399e-04
7.350000000000000000e+01 2.914321537982501095e-03 1.713658525988074775e-03 9.289780604512098017e-04 1.903487377316871959e-04
7.400000000000000000e+01 3.556872863607935149e-03 1.957759463136591466e-03 9.609792087617384081e-04 1.833000448428132023e-04
7.450000000000000000e+01 4.187809695398840744e-03 1.862776835805172049e-03 8.370352559521110391e-04 1.845705450795791865e-04
7.500000000000000000e+01 4.073809729483824325e-03 1.821944155841434630e-03 7.726638813804201844e-04 1.688013236833926420e-04
7.550000000000000000e+01 4.084625022404401833e-03 1.845817284969950445e-03 7.446059944477543581e-04 1.867189328224116236e-04
7.600000000000000000e+01 3.148047579712967038e-03 1.987878215998530908e-03 7.729159987831805056e-04 1.857819670499793899e-04
7.650000000000000000e+01 3.275133110406808212e-03 1.405571475927943747e-03 8.373935802827911891e-04 1.877733475576018319e-04
7.700000000000000000e+01 2.686623250769765592e-03 1.378400050583022691e-03 8.325048846399688875e-04 1.809690585860502989e-04
7.750000000000000000e+01 3.239416408659981893e-03 1.087314447237019803e-03 5.911901146379275242e-04 1.812921740310765217e-04
7.800000000000000000e+01 2.888269584956229454e-03 1.018730821757237587e-03 6.045226813776506149e-04 1.670802546372368667e-04
7.850000000000000000e+01 2.418537514687913500e-03 8.615904393083529018e-04 5.546508237305212497e-04 1.557663688739671236e-04
7.900000000000000000e+01 2.575818713402994783e-03 1.111226720515545328e-03 5.647016339446690302e-04 1.442777972619819387e-04
7.950000000000000000e+01 2.508431733244817496e-03 8.722169635076654562e-04 5.874488948230015750e-04 1.358248235992946318e-04
8.000000000000000000e+01 2.890957250225532123e-03 9.045532595831425222e-04 5.427659020756008066e-04 1.330342764778678899e-04
8.050000000000000000e+01 3.027748118346538977e-03 9.453257119582312001e-04 5.039120724455422098e-04 1.376043860959460868e-04
8.100000000000000000e+01 3.122437908099017466e-03 9.199961736954957768e-04 4.722957587349600772e-04 1.548145483674099915e-04
8.150000000000000000e+01 3.138811851591378176e-03 8.933830848428794477e-04 6.531315062415265008e-04 1.701905886054130759e-04
8.200000000000000000e+01 2.651990006411667541e-03 9.179531158432512224e-04 5.086208165251818788e-04 1.696876354092968374e-04
8.250000000000000000e+01 2.449456766417190158e-03 8.619630776902679429e-04 5.408856203419091981e-04 1.760471676778987775e-04
8.300000000000000000e+01 2.362714563945766521e-03 9.517707117876427186e-04 4.338893147912034317e-04 1.909230056178952428e-04
8.350000000000000000e+01 2.653377621877921720e-03 8.286167751999015674e-04 4.570462489687830503e-04 2.139614400309221070e-04
8.400000000000000000e+01 2.680443294709189146e-03 9.179996719633879993e-04 3.931948300699208694e-04 2.175776407914952989e-04
