Time(s) Delta Theta Alpha Beta
7.400000000000000000e+01 4.998578561551551835e-03 1.982750639515458522e-03 7.489947952606604981e-04 2.456947039935366661e-04
7.450000000000000000e+01 4.978913050602658957e-03 1.974637297707831484e-03 7.470704072037655675e-04 2.450926669996934641e-04
7.500000000000000000e+01 4.958023768167999466e-03 1.968621409042419553e-03 7.450387716117394055e-04 2.443713294008906332e-04
7.550000000000000000e+01 4.936373375333722412e-03 1.961969811907199931e-03 7.427324642553278285e-04 2.436498684297702048e-04
7.600000000000000000e+01 4.915544371295433625e-03 1.957157614784178594e-03 7.403901190731437647e-04 2.429404638102808194e-04
7.650000000000000000e+01 4.898347099249794091e-03 1.950943991814094516e-03 7.388445863079894657e-04 2.422880453534911806e-04
7.700000000000000000e+01 4.878579142154957152e-03 1.944685534851344020e-03 7.380858700256859133e-04 2.416376911947631045e-04
7.750000000000000000e+01 4.860910043792811795e-03 1.937043507541879022e-03 7.383580048850696105e-04 2.410923086030132491e-04
7.800000000000000000e+01 4.841935481589639163e-03 1.930408894666069521e-03 7.378865031678402816e-04 2.404202626336863428e-04
7.850000000000000000e+01 4.827949360598960196e-03 1.926247268930482773e-03 7.389136543352247885e-04 2.399042516330958288e-04
7.900000000000000000e+01 4.811198135404049989e-03 1.919859663519361955e-03 7.394769692650815865e-04 2.394887936093136765e-04
7.950000000000000000e+01 4.799248192981262796e-03 1.915245576902079591e-03 7.406674944890863713e-04 2.390744983455025138e-04
8.000000000000000000e+01 4.783345450844538396e-03 1.908142794114860716e-03 7.411740197127626066e-04 2.387522181631378715e-04
8.050000000000000000e+01 4.768899993441884366e-03 1.903116583558229786e-03 7.419309751013880008e-04 2.383317269791292853e-04
8.100000000000000000e+01 4.752487680119090070e-03 1.897979265495790008e-03 7.414416479664780180e-04 2.380050029180350989e-04
8.150000000000000000e+01 4.738051945791824267e-03 1.894191671232962806e-03 7.401123482267627646e-04 2.374827952486558411e-04
8.200000000000000000e+01 4.720118166781295949e-03 1.889196929996059000e-03 7.390073270888777596e-04 2.371428682358518942e-04
8.250000000000000000e+01 4.703998671927762595e-03 1.883032341902314815e-03 7.371587756081832751e-04 2.366929965362505358e-04
8.300000000000000000e+01 4.693920698086080125e-03 1.878313367059617671e-03 7.347294471432212586e-04 2.362801328158136392e-04
8.350000000000000000e+01 4.681872560589426559e-03 1.872599064198720957e-03 7.323563652051053941e-04 2.357796693589504354e-04
8.400000000000000000e+01 4.672898295466670210e-03 1.868057184413999053e-03 7.303200802438904312e-04 2.352747444256493494e-04
8.450000000000000000e+01 4.659831917104834478e-03 1.863389763242586554e-03 7.287149162937953855e-04 2.348081118507619480e-04
8.500000000000000000e+01 4.650797476870434551e-03 1.858793460294273477e-03 7.279212504521884739e-04 2.343175617722957822e-04
8.550000000000000000e+01 4.638120898645610966e-03 1.853563471116613515e-03 7.269709709373380849e-04 2.339032067825098297e-04
8.600000000000000000e+01 4.630682789498703072e-03 1.848303053713867264e-03 7.267366490713055623e-04 2.334880533491385678e-04
8.650000000000000000e+01 4.617993039182787147e-03 1.842599152584849806e-03 7.262248600742758284e-04 2.331225597308619695e-04
8.700000000000000000e+01 4.602873360044217911e-03 1.837318565806969747e-03 7.265281695914278630e-04 2.327292221740850789e-04
8.750000000000000000e+01 4.588495260219695344e-03 1.832432683734399768e-03 7.270642384016700720e-04 2.324789387277309300e-04
8.800000000000000000e+01 4.575233766777227380e-03 1.828182378700790589e-03 7.275355608903383720e-04 2.322132963780561786e-04
8.850000000000000000e+01 4.563883069869703255e-03 1.824567968871071725e-03 7.274351842542932638e-04 2.319420453960383108e-04
8.900000000000000000e+01 4.553024466411100847e-03 1.820077945626351985e-03 7.271677656806892339e-04 2.316630747029092038e-04
